State,Constituency Name,Candidate,Party,Winning Margin
Uttar Pradesh,Ghosi,ROLI GUPTA,Akhil Bhartiya Hamara Samaj Party,-162943.0
Maharashtra,Nashik,CHANDRAKANT KESHAVRAO THAKUR,Independent,-162001.0
Maharashtra,Nashik,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),-162001.0
Maharashtra,Nashik,GODSE HEMANT TUKARAM,Shiv Sena,-162001.0
Maharashtra,Nashik,KARAN PANDHARINATH GAIKAR,Vanchit Bahujan  Aaghadi,-162001.0
Maharashtra,Nashik,SHANTIGIRIJI MAUNGIRIJI MAHARAJ,Independent,-162001.0
Maharashtra,Nashik,ARUN MADHUKAR KALE,Bahujan Samaj Party,-162001.0
Maharashtra,Nashik,NOTA,None of the Above,-162001.0
Maharashtra,Nashik,VAMAN MAHADEV SANGALE,Dharmarajya Paksha,-162001.0
Maharashtra,Nashik,DARSHANA AMOL MEDHE,Prabuddha Republican Party,-162001.0
Maharashtra,Nashik,DEVIDAS PIRAJI SARKATE,Independent,-162001.0
Maharashtra,Nashik,SACHINRAJE DATTATREYA DEORE,Independent,-162001.0
Maharashtra,Nashik,TILOTTAMA SUNIL JAGTAP,Independent,-162001.0
Maharashtra,Nashik,KOLAPPA HANUMANT DHOTRE,Independent,-162001.0
Maharashtra,Nashik,ADV. ZUNJAR MHASUJI AVHAD,Bahujan Republican  Socialist Party,-162001.0
Maharashtra,Nashik,SOPAN NIVRUTTI SOMWANSHI,Independent,-162001.0
Maharashtra,Nashik,BHAGYASHRI NITIN ADSUL,Indian Peoples Adhikar Party,-162001.0
Maharashtra,Nashik,DHANAJI ASHOK TOPALE,Independent,-162001.0
Maharashtra,Nashik,KAMLAKAR BALASAHEB GAIKWAD,Dalit Soshit Pichhara Varg  Adhikar Dal,-162001.0
Maharashtra,Nashik,AMOL SAMPATRAO KAMBLE,Rashtriya Kisan Bahujan Party,-162001.0
Maharashtra,Nashik,YASHWANT VALU PARDHI,Bhartiya Asmita Party,-162001.0
Maharashtra,Nashik,KANTILAL KISAN JADHAV,Ambedkarite Party of India,-162001.0
Maharashtra,Nashik,SUSHAMA ABHIJIT GORANE,Independent,-162001.0
Maharashtra,Nashik,SIDDHESHWARANAND SARASWATI,Independent,-162001.0
Maharashtra,Nashik,GANESH BALASAHEB BORASTE,Independent,-162001.0
Maharashtra,Nashik,JAYSHRI MAHENDRA PATIL,Sainik Samaj Party,-162001.0
Maharashtra,Nashik,ARIF USMAN MANSURI,Independent,-162001.0
Maharashtra,Nashik,JITENDRA NARESH BHABHE (JITENDRA BHAVE),Independent,-162001.0
Maharashtra,Nashik,SUDHIR SHRIDHAR DESHMUKH,Independent,-162001.0
Maharashtra,Nashik,KANOJE PRAKASH GIRDHARI,Independent,-162001.0
Maharashtra,Nashik,CHANDRABHAN AABAJI PURKAR,Independent,-162001.0
Maharashtra,Nashik,KAILASH MARUTI CHAVAN,Aam Janta Party (India),-162001.0
Maharashtra,Nashik,DEEPAK GAIKWAD,Independent,-162001.0
Bihar,Khagaria,DR RAVI KUMAR,Bahujan Samaj Party,-161131.0
Bihar,Khagaria,PINKESH KUMAR,Rashtriya Jan Kalyan Party Secular,-161131.0
Bihar,Khagaria,KANCHAN MALA,Hindustan People's Party (Democratic),-161131.0
Bihar,Khagaria,CHANDRA KISHOR THAKUR,Aam Janta Party Rashtriya,-161131.0
Bihar,Khagaria,DINANATH CHANDRAVANSHI,Independent,-161131.0
Bihar,Khagaria,PRIYADARSHEE DINKAR,Independent,-161131.0
Bihar,Khagaria,ASIF IMAM,Aadarsh Mithila Party,-161131.0
Bihar,Khagaria,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),-161131.0
Bihar,Khagaria,SANJAY KUMAR,Communist Party of India  (Marxist),-161131.0
Bihar,Khagaria,NOTA,None of the Above,-161131.0
Bihar,Khagaria,RUPAM DEVI,Independent,-161131.0
Bihar,Khagaria,SONU KUMAR,Independent,-161131.0
Bihar,Khagaria,AJAY KUMAR,Rashtriya Jansambhavna Party,-161131.0
Uttar Pradesh,Azamgarh,DINESH LAL YADAV “NIRAHUA”,Bharatiya Janata Party,-161035.0
Uttar Pradesh,Azamgarh,PANKAJ KUMAR YADAV,Independent,-161035.0
Uttar Pradesh,Azamgarh,VIJAY KUMAR,Independent,-161035.0
Uttar Pradesh,Azamgarh,MAHENDRA NATH YADAV,Moolniwasi Samaj Party,-161035.0
Uttar Pradesh,Azamgarh,PARAS YADAV,Jan Raajya Party,-161035.0
Uttar Pradesh,Azamgarh,RAVINDRA NATH SHARMA,Moulik Adhikar Party,-161035.0
Uttar Pradesh,Azamgarh,NOTA,None of the Above,-161035.0
Uttar Pradesh,Azamgarh,MASHHOD SABEEHA ANSARI,Bahujan Samaj Party,-161035.0
Uttar Pradesh,Azamgarh,DHARMENDRA YADAV,Samajwadi Party,-161035.0
Uttar Pradesh,Azamgarh,SHASHIDHAR,Independent,-161035.0
West Bengal,Bardhaman Purba,NIRMAL MAJHI,Socialist Unity Centre Of India (COMMUNIST),-160572.0
West Bengal,Bardhaman Purba,MUKUL BISWAS,Bahujan Samaj Party,-160572.0
West Bengal,Bardhaman Purba,SHARMILA SARKAR,Independent,-160572.0
West Bengal,Bardhaman Purba,DR. SHARMILA SARKAR,All India Trinamool Congress,-160572.0
West Bengal,Bardhaman Purba,SAJAL KUMAR DE,Communist Party of India  (Marxist-Leninist)  (Liberation),-160572.0
West Bengal,Bardhaman Purba,ASIM KUMAR SARKAR,Bharatiya Janata Party,-160572.0
West Bengal,Bardhaman Purba,NIRAB KHAN,Communist Party of India  (Marxist),-160572.0
West Bengal,Bardhaman Purba,NOTA,None of the Above,-160572.0
Andhra Pradesh,Narsaraopet,YAMPATI VEERANJANEYA REDDY,Independent,-159729.0
Andhra Pradesh,Narsaraopet,DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party,-159729.0
Andhra Pradesh,Narsaraopet,PAPPULA SAMBASIVA RAO,Navarang Congress Party,-159729.0
Andhra Pradesh,Narsaraopet,PASUPULETI PICHAIAH,National Nava Kranthi Party,-159729.0
Andhra Pradesh,Narsaraopet,P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party,-159729.0
Andhra Pradesh,Narsaraopet,ABDUL RAJAK SHAIK,Independent,-159729.0
Andhra Pradesh,Narsaraopet,SUBBARAO CHALLA,Independent,-159729.0
Andhra Pradesh,Narsaraopet,KOTA POTHURAJU,Pyramid Party of India,-159729.0
Andhra Pradesh,Narsaraopet,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,-159729.0
Andhra Pradesh,Narsaraopet,GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress,-159729.0
Andhra Pradesh,Narsaraopet,NOTA,None of the Above,-159729.0
Andhra Pradesh,Narsaraopet,ORSU PREMARAJU,Bahujan Samaj Party,-159729.0
Andhra Pradesh,Narsaraopet,KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party,-159729.0
Andhra Pradesh,Narsaraopet,GARLAPATI SUBHASH PREM,Revolutionary Socialist Party,-159729.0
Andhra Pradesh,Narsaraopet,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,-159729.0
Andhra Pradesh,Narsaraopet,THOKALA NAGA RAJU,All India Forward Bloc,-159729.0
Uttar Pradesh,Baghpat,PRAVEEN BANSAL,Bahujan Samaj Party,-159459.0
Uttar Pradesh,Baghpat,MUKESH KUMAR SHARMA,Azad Adhikar Sena,-159459.0
Uttar Pradesh,Baghpat,NOTA,None of the Above,-159459.0
Uttar Pradesh,Baghpat,MAHENDER SINGH,Sarvjan Samta Party,-159459.0
Uttar Pradesh,Baghpat,SUKHVIR SINGH,Swatantra Jantaraj Party,-159459.0
Uttar Pradesh,Baghpat,RUBY KASHYAP,Sarvjan Lok Shakti Party,-159459.0
Uttar Pradesh,Baghpat,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,-159459.0
Uttar Pradesh,Baghpat,AMARPAL,Samajwadi Party,-159459.0
Maharashtra,Nandurbar,DEEPAKKUMAR MADHUKAR SHIRSATH,Independent,-159120.0
Maharashtra,Nandurbar,JALAMSING SUTUM PAWAR,Independent,-159120.0
Maharashtra,Nandurbar,GITANJALI SHASHIKANT KOLI,Independent,-159120.0
Maharashtra,Nandurbar,HEMANT MANSARAM KOLI,Vanchit Bahujan  Aaghadi,-159120.0
Maharashtra,Nandurbar,ROHIDAS GEMAJI VALVI,Independent,-159120.0
Maharashtra,Nandurbar,NIRMALA VASAVE,Peoples Party of India (Democratic),-159120.0
Maharashtra,Nandurbar,SUSHILKUMAR JAHANGIR PAWARA,Independent,-159120.0
Maharashtra,Nandurbar,ANANDA SUKALAL KOLI,Bahujan Samaj Party,-159120.0
Maharashtra,Nandurbar,RAVINDRA RANJIT VALVI,Bharat Adivasi Party,-159120.0
Maharashtra,Nandurbar,NOTA,None of the Above,-159120.0
Maharashtra,Nandurbar,ADV GOWAAL KAGADA PADAVI,Indian National Congress,-159120.0
Maharashtra,Nandurbar,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,-159120.0
Maharashtra,Baramati,VIJAYPRAKASH ANANT KONDEKAR,Independent,-158333.0
Maharashtra,Baramati,SAVITA BHIMRAO KADALE,Hindustan Janta Party,-158333.0
Maharashtra,Baramati,VISHAL ARUN PAWAR,Independent,-158333.0
Maharashtra,Baramati,VIJAY LAXMAN GHAVALE,Independent,-158333.0
Maharashtra,Baramati,BALASO MARUTI DHAPATE,Independent,-158333.0
Maharashtra,Baramati,SHRIDHAR NARAYAN SALVE,Bhim Sena,-158333.0
Maharashtra,Baramati,LAXMAN RAM KUMBHAR,Dalit Soshit Pichhara Varg  Adhikar Dal,-158333.0
Maharashtra,Baramati,SHARAD RAM PAWAR,Independent,-158333.0
Maharashtra,Baramati,SHIVAJI RAMBHAU NANDKHILE,Bharatheeya Jawan Kisan Party,-158333.0
Maharashtra,Baramati,RAJENDRA MAHADEV BARAKADE,Independent,-158333.0
Maharashtra,Baramati,BAPU PRALHAD PAWAR,Independent,-158333.0
Maharashtra,Baramati,SURESHDADA BABURAO VIR,Independent,-158333.0
Maharashtra,Baramati,ROHIDAS BALASO KONDAKE,Bahujan Republican  Socialist Party,-158333.0
Maharashtra,Baramati,DR. SOMNATH ALIAS BALASAHEB ARJUN POL,Independent,-158333.0
Maharashtra,Baramati,SHUBHANGI DHAYGUDE,Independent,-158333.0
Maharashtra,Baramati,SHAILENDRA ALIAS SANDEEP KARANJAWANE,Independent,-158333.0
Maharashtra,Baramati,DATTATRAY RAMBHAU CHANDARE,Independent,-158333.0
Maharashtra,Baramati,SANDIP ABAJI DEOKATE,Independent,-158333.0
Maharashtra,Baramati,UMESH MAHADEV MHETRE,Independent,-158333.0
Maharashtra,Baramati,MILIND VITTHAL SHINDE,Independent,-158333.0
Maharashtra,Baramati,SHIVAJI JAYSING KOKRE,Independent,-158333.0
Maharashtra,Baramati,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,-158333.0
Maharashtra,Baramati,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,-158333.0
Maharashtra,Baramati,MAHESH SITARAM BHAGWAT,Independent,-158333.0
Maharashtra,Baramati,SHAIKH SOYALSHAHA YUNUSSHAHA,Independent,-158333.0
Maharashtra,Baramati,PRIYADARSHANI NANDKUMAR KOKARE,Bahujan Samaj Party,-158333.0
Maharashtra,Baramati,NOTA,None of the Above,-158333.0
Maharashtra,Baramati,SACHIN SHANKAR AGAWANE,Independent,-158333.0
Maharashtra,Baramati,KAMBLE TRISHALA,Bahujan Samaj Party  (Ambedkar),-158333.0
Maharashtra,Baramati,SUNITA PAWAR,Independent,-158333.0
Maharashtra,Baramati,GAJANAN UTTAM GAWALI (PATIL),Independent,-158333.0
Maharashtra,Baramati,MANOJ BALASAHEB RASAL,Independent,-158333.0
Maharashtra,Baramati,MAHADEV SAHEBRAO KHENGARE - PATIL,Bhartiya Navjawan Sena (Paksha),-158333.0
Maharashtra,Baramati,PRADEEP RAMCHANDRA MANE,Independent,-158333.0
Maharashtra,Baramati,PROF. NAMDEORAO JADHAV,Independent,-158333.0
Maharashtra,Baramati,RAJENDRA PANDURANG BHOSALE,People’s Union Party,-158333.0
Maharashtra,Baramati,DASHRATH NANA RAUT,Bharatiya Praja Surajya Paksha,-158333.0
Maharashtra,Baramati,ANKUSH DNYANESHAWAR PILANE,Independent,-158333.0
Maharashtra,Baramati,KALYANI SUJITKUMAR WAGHMODE,Independent,-158333.0
Gujarat,Sabarkantha,SOLANKI CHHAGANBHAI KEVLABHAI,Independent,-155682.0
Gujarat,Sabarkantha,VIJAYSINH NAVALSINH CHAUHAN,Independent,-155682.0
Gujarat,Sabarkantha,BHAVNABA NARENDRASINH PARMAR,Independent,-155682.0
Gujarat,Sabarkantha,ANILKUMAR NIRANJANKUMAR MUNDADA,Log Party,-155682.0
Gujarat,Sabarkantha,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,-155682.0
Gujarat,Sabarkantha,MUSTAKBHAI JAMALBHAI SANGHANI,Independent,-155682.0
Gujarat,Sabarkantha,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,-155682.0
Gujarat,Sabarkantha,RAKESHSINH MAHOBATSINH ZALA,Bhartiya Jan Parishad,-155682.0
Gujarat,Sabarkantha,PANDOR KAUSHIKKUMAR SHANKARBHAI,Independent,-155682.0
Gujarat,Sabarkantha,ASHOK L VAGHELA,Independent,-155682.0
Gujarat,Sabarkantha,KANUBHAI KHIMJIBHAI GADHAVI,Independent,-155682.0
Gujarat,Sabarkantha,THAKOR INDIRABEN JITENDRASINH,Insaniyat Party,-155682.0
Gujarat,Sabarkantha,NOTA,None of the Above,-155682.0
Gujarat,Sabarkantha,KATARA VARUNKUMAR KALYANSINH,Gunj Satya Ni Janata Party,-155682.0
Gujarat,Sabarkantha,PARMAR RAMESHCHANDRA NANJIBHAI,Bahujan Samaj Party,-155682.0
Meghalaya,Tura,AGATHA K SANGMA,National People's Party,-155241.0
Meghalaya,Tura,ZENITH M SANGMA,All India Trinamool Congress,-155241.0
Meghalaya,Tura,LABENN CH MARAK,Independent,-155241.0
Meghalaya,Tura,NOTA,None of the Above,-155241.0
Meghalaya,Tura,SALENG A SANGMA,Indian National Congress,-155241.0
Maharashtra,Kolhapur,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,-154964.0
Maharashtra,Kolhapur,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,-154964.0
Maharashtra,Kolhapur,SUBHASH VAIJU DESAI,Independent,-154964.0
Maharashtra,Kolhapur,MADHURI RAJU JADHAV,Independent,-154964.0
Maharashtra,Kolhapur,KRUSHNABAI DIPAK CHOUGALE,Independent,-154964.0
Maharashtra,Kolhapur,KOGALE SANDEEP BHAIRAVNATH,Desh Janhit Party,-154964.0
Maharashtra,Kolhapur,ADV. YASH SUHAS HEGDEPATIL,Independent,-154964.0
Maharashtra,Kolhapur,NAGNATH PUNDALIK BENAKE,Independent,-154964.0
Maharashtra,Kolhapur,B. T. PATIL (EX SERVICEMAN),Bharatheeya Jawan Kisan Party,-154964.0
Maharashtra,Kolhapur,RAJANDARA BALASO KOLI,Independent,-154964.0
Maharashtra,Kolhapur,MANGESH JAYSINGH PATIL,Independent,-154964.0
Maharashtra,Kolhapur,SHASHIBHUSHAN JEEVANRAO DESAI,Akhil Bharat Hindu Mahasabha,-154964.0
Maharashtra,Kolhapur,SANTOSH GANPATI BISURE,Apni Prajahit Party,-154964.0
Maharashtra,Kolhapur,DR. SUNIL NAMDEV PATIL,National Black Panther Party,-154964.0
Maharashtra,Kolhapur,KRUSHNA HANMANT DESAI,Independent,-154964.0
Maharashtra,Kolhapur,IRFAN ABUTALIB CHAND,Independent,-154964.0
Maharashtra,Kolhapur,SANDEEP GUNDOPANT SANKPAL,Independent,-154964.0
Maharashtra,Kolhapur,KUDARTULLA ADAM LATIF,Independent,-154964.0
Maharashtra,Kolhapur,MANE ARVIND BHIVA,Bhartiya Rashtriya Dal,-154964.0
Maharashtra,Kolhapur,NOTA,None of the Above,-154964.0
Maharashtra,Kolhapur,SANJAY BHIKAJI MAGADE,Bahujan Samaj Party,-154964.0
Maharashtra,Kolhapur,MUSHTAK AJIJ MULLA,Independent,-154964.0
Maharashtra,Kolhapur,KHADE BAJIRAO NANASO,Independent,-154964.0
Maharashtra,Kolhapur,SALIM NURMUHAMAD BAGWAN,Independent,-154964.0
Bihar,Patna Sahib,RAVI SHANKAR PRASAD,Bharatiya Janata Party,-153846.0
Bihar,Patna Sahib,DHARMVIR KUMAR BHASKAR,Independent,-153846.0
Bihar,Patna Sahib,SANJAY KUMAR URF SANJAY BALMIKI,Independent,-153846.0
Bihar,Patna Sahib,ENG UMESH RAJAK,Peoples Party of India (Democratic),-153846.0
Bihar,Patna Sahib,AWADHESH PRASAD,Independent,-153846.0
Bihar,Patna Sahib,NOTA,None of the Above,-153846.0
Bihar,Patna Sahib,NEERAJ KUMAR,Bahujan Samaj Party,-153846.0
Bihar,Patna Sahib,MAHESH KUMAR,Samata Party,-153846.0
Bihar,Patna Sahib,SHAHID ALAM,Jantantra Awaj Party,-153846.0
Bihar,Patna Sahib,SAROJ KUMAR SUMAN,Socialist Unity Centre Of India (COMMUNIST),-153846.0
Bihar,Patna Sahib,DR RAKESH DUTTA MISHRA,Bharatiya Jan Kranti Dal (Democratic),-153846.0
Bihar,Patna Sahib,MAHBOOB ALAM ANSARI,Bharatiya Momin Front,-153846.0
Bihar,Patna Sahib,AMIT KUMAR ALBELA,Independent,-153846.0
Bihar,Patna Sahib,SUMIT RANJAN SINHA,Akhand Bharat Janpriya Party,-153846.0
Bihar,Patna Sahib,GULAB PRASAD,Loktantrik Samajwadi Party,-153846.0
Bihar,Patna Sahib,RAKESH SHARMA,Independent,-153846.0
Bihar,Patna Sahib,ANSHUL AVIJIT,Indian National Congress,-153846.0
Bihar,Patna Sahib,DHANJAY KUMAR,Rashtriya Jansambhavna Party,-153846.0
Uttar Pradesh,Varanasi,NARENDRA MODI,Bharatiya Janata Party,-152513.0
Uttar Pradesh,Varanasi,ATHER JAMAL LARI,Bahujan Samaj Party,-152513.0
Uttar Pradesh,Varanasi,NOTA,None of the Above,-152513.0
Uttar Pradesh,Varanasi,GAGAN PRAKASH YADAV,Apna Dal (Kamerawadi),-152513.0
Uttar Pradesh,Varanasi,AJAY RAI,Indian National Congress,-152513.0
Uttar Pradesh,Varanasi,KOLISETTY SHIVA KUMAR,Yuga Thulasi Party,-152513.0
Uttar Pradesh,Varanasi,DINESH KUMAR YADAV,Independent,-152513.0
Uttar Pradesh,Varanasi,SANJAY KUMAR TIWARI,Independent,-152513.0
Bihar,Madhubani,ASHOK KUMAR YADAV,Bharatiya Janata Party,-151945.0
Bihar,Madhubani,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,-151945.0
Bihar,Madhubani,NOTA,None of the Above,-151945.0
Bihar,Madhubani,SHIV BODHAN SAHU,Independent,-151945.0
Bihar,Madhubani,BIKASH KUMAR,Bahujan Samaj Party,-151945.0
Bihar,Madhubani,VAIDYANATH YADAV,Peoples Party of India (Democratic),-151945.0
Bihar,Madhubani,SARFARAJ ALAM,Akhil Bhartiya Parivar Party,-151945.0
Bihar,Madhubani,MD WAQUAR SIDDIQUI,All India Majlis-E-Ittehadul Muslimeen,-151945.0
Bihar,Madhubani,MOHAN SHARMA,Rashtriya Jansambhavna Party,-151945.0
Bihar,Madhubani,ABU BAKAR RAHMANI,Country Citizen Party,-151945.0
Bihar,Madhubani,UDAY MANDAL,Samata Party,-151945.0
Bihar,Madhubani,KUL BHUSHAN PRASAD,Loktantrik Lok Rajyam Party,-151945.0
Bihar,Madhubani,PRIYE RANJAN,Independent,-151945.0
Uttar Pradesh,Nagina,OM KUMAR,Bharatiya Janata Party,-151473.0
Uttar Pradesh,Nagina,MANOJ KUMAR,Samajwadi Party,-151473.0
Uttar Pradesh,Nagina,SURENDRA PAL SINGH,Bahujan Samaj Party,-151473.0
Uttar Pradesh,Nagina,NOTA,None of the Above,-151473.0
Uttar Pradesh,Nagina,JOGENDRA,Independent,-151473.0
Uttar Pradesh,Nagina,SANJEEV KUMAR,Independent,-151473.0
Uttar Pradesh,Nagina,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),-151473.0
Kerala,Kollam,NOTA,None of the Above,-150302.0
Kerala,Kollam,VIPINLAL VIDHYADHARAN,Bahujan Samaj Party,-150302.0
Kerala,Kollam,PREMACHANDRAN NAIR,Independent,-150302.0
Kerala,Kollam,GOKULAM SURESH KUMAR,Independent,-150302.0
Kerala,Kollam,BRO NOUSHAD  SHERIFF J,Independent,-150302.0
Kerala,Kollam,TWINKLE PRABHAKARAN,Socialist Unity Centre Of India (COMMUNIST),-150302.0
Kerala,Kollam,KRISHNAKUMAR G,Bharatiya Janata Party,-150302.0
Kerala,Kollam,JOSE SARANATH,Ambedkarite Party of India,-150302.0
Kerala,Kollam,N JAYARAJAN,Independent,-150302.0
Kerala,Kollam,PRADEEP KOTTARAKKARA,Bharatheeya Jawan Kisan Party,-150302.0
Kerala,Kollam,M MUKESH,Communist Party of India  (Marxist),-150302.0
Kerala,Kollam,P KRISHNAMMAL,Marxist Communist Party of India (United),-150302.0
Kerala,Kollam,N K PREMACHANDRAN,Revolutionary Socialist Party,-150302.0
Jharkhand,Khunti,SAVITRI DEVI,Bahujan Samaj Party,-149675.0
Jharkhand,Khunti,ARJUN MUNDA,Bharatiya Janata Party,-149675.0
Jharkhand,Khunti,NOTA,None of the Above,-149675.0
Jharkhand,Khunti,BASANT KUMAR LONGA,Independent,-149675.0
Jharkhand,Khunti,ARPANA HANS,Jharkhand Party,-149675.0
Jharkhand,Khunti,PASTAR SANJAY KUMAR TIRKEY,Independent,-149675.0
Jharkhand,Khunti,BABITA KACHHAP,Bharat Adivasi Party,-149675.0
Jharkhand,Khunti,KALI CHARAN MUNDA,Indian National Congress,-149675.0
Karnataka,Dakshina Kannada,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,-149208.0
Karnataka,Dakshina Kannada,NOTA,None of the Above,-149208.0
Karnataka,Dakshina Kannada,KANTHAPPA ALANGAR,Bahujan Samaj Party,-149208.0
Karnataka,Dakshina Kannada,DURGA PRASAD,Karunada Sevakara Party,-149208.0
Karnataka,Dakshina Kannada,SUPREETH KUMAR POOJARY  KATEEL,Independent,-149208.0
Karnataka,Dakshina Kannada,MAXIM PINTO,Independent,-149208.0
Karnataka,Dakshina Kannada,DEEPAK RAJESH COELHO,Independent,-149208.0
Karnataka,Dakshina Kannada,PRAJAAKEEYA MANOHARA,Uttama Prajaakeeya Party,-149208.0
Karnataka,Dakshina Kannada,RANJINI. M,Karnataka Rashtra Samithi,-149208.0
Karnataka,Dakshina Kannada,PADMARAJ.R.POOJARY,Indian National Congress,-149208.0
Uttar Pradesh,Kaiserganj,NOTA,None of the Above,-148843.0
Uttar Pradesh,Kaiserganj,ARUNIMA PANDEY,Independent,-148843.0
Uttar Pradesh,Kaiserganj,BHAGAT RAM,Samajwadi Party,-148843.0
Uttar Pradesh,Kaiserganj,NARENDRA PANDEY,Bahujan Samaj Party,-148843.0
Uttar Pradesh,Kaiserganj,KARAN BHUSHAN SINGH,Bharatiya Janata Party,-148843.0
Odisha,Koraput,SAPTAGIRI SANKAR ULAKA,Indian National Congress,-147744.0
Odisha,Koraput,PRAKASH HIKAKA,Communist Party of India  (Marxist-Leninist)  (Liberation),-147744.0
Odisha,Koraput,LASU HANTAL,Independent,-147744.0
Odisha,Koraput,RAGHUMANI GOMANGO,Independent,-147744.0
Odisha,Koraput,ABINASH GOMANGO,Independent,-147744.0
Odisha,Koraput,DAMINI JANI,Bahujan Samaj Party,-147744.0
Odisha,Koraput,SANTOSH KUMAR BIDIKA,Republican Party of India (A),-147744.0
Odisha,Koraput,SUMAN KANTA,Naba Bharata Nirmana Seva Party,-147744.0
Odisha,Koraput,KAUSALYA HIKAKA,Biju Janata Dal,-147744.0
Odisha,Koraput,NOTA,None of the Above,-147744.0
Odisha,Koraput,PRAMILA PUJARI,Socialist Unity Centre Of India (COMMUNIST),-147744.0
Odisha,Koraput,KALIRAM MAJHI,Bharatiya Janata Party,-147744.0
Assam,Diphu,JOTSON BEY,Autonomous State Demand Committee,-147603.0
Assam,Diphu,AMARSING TISSO,Bharatiya Janata Party,-147603.0
Assam,Diphu,JOHN BARNARD SANGMA,Gana Suraksha Party,-147603.0
Assam,Diphu,J. I. KATHAR,Independent,-147603.0
Assam,Diphu,JOY RAM ENGLENG,Indian National Congress,-147603.0
Assam,Diphu,NOTA,None of the Above,-147603.0
Odisha,Balasore,AKHIL KUMAR MOHANTA,Independent,-147156.0
Odisha,Balasore,DEEPAK SANKAR THAKUR GIRI,Independent,-147156.0
Odisha,Balasore,BIREN PUHAN,Krupaa Party,-147156.0
Odisha,Balasore,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,-147156.0
Odisha,Balasore,PRAMOD KUMAR PATTAYAT,Independent,-147156.0
Odisha,Balasore,LEKHASRI SAMANTSINGHAR,Biju Janata Dal,-147156.0
Odisha,Balasore,SHRIKANTA JENA,Indian National Congress,-147156.0
Odisha,Balasore,NOTA,None of the Above,-147156.0
Odisha,Balasore,RAJAT KUMAR BEHERA,Bahujan Samaj Party,-147156.0
Odisha,Balasore,GOBINDA CHANDRA BHOI,National Apni Party,-147156.0
Odisha,Balasore,SURYAKANTA DASMOHAPATRA,Independent,-147156.0
Odisha,Balasore,MAHAMEGHABAHAN AIRA KHARABELA SWAIN,Independent,-147156.0
Kerala,Kozhikode,M. T. RAMESH,Bharatiya Janata Party,-146176.0
Kerala,Kozhikode,T. RAGHAVAN S/O VELLANKUTTY,Independent,-146176.0
Kerala,Kozhikode,ABDUL KAREEM S/O AYAMMATH KUTTY,Independent,-146176.0
Kerala,Kozhikode,ABDUL KAREEM K. S/O ASSAIN,Independent,-146176.0
Kerala,Kozhikode,NOTA,None of the Above,-146176.0
Kerala,Kozhikode,ARAMUKHAN,Bahujan Samaj Party,-146176.0
Kerala,Kozhikode,ABDUL KAREEM S/O MAHAMMOOD,Independent,-146176.0
Kerala,Kozhikode,DR. M. JYOTHIRAJ,Socialist Unity Centre Of India (COMMUNIST),-146176.0
Kerala,Kozhikode,SUBHA,Independent,-146176.0
Kerala,Kozhikode,N. RAGHAVAN S/O DAMU,Independent,-146176.0
Kerala,Kozhikode,ARAVINDAKSHAN NAIR M. K.,Bharatheeya Jawan Kisan Party,-146176.0
Kerala,Kozhikode,RAGHAVAN S/O NARAYANAN NAIR,Independent,-146176.0
Kerala,Kozhikode,M. K. RAGHAVAN,Indian National Congress,-146176.0
Kerala,Kozhikode,ELAMARAM KAREEM,Communist Party of India  (Marxist),-146176.0
Madhya Pradesh,RAJGARH,RAMCHARAN PIRJAPATI,Lok Samaj Party,-146089.0
Madhya Pradesh,RAJGARH,VISHAL SONI (ADVOCATE),Bharatiya Yuva Jan Ekta Party,-146089.0
Madhya Pradesh,RAJGARH,JAGDISH KARPENTER,Independent,-146089.0
Madhya Pradesh,RAJGARH,ANIL,Independent,-146089.0
Madhya Pradesh,RAJGARH,SUNEEL BHEEL,Independent,-146089.0
Madhya Pradesh,RAJGARH,RADHESHYAM MALVIYA,Independent,-146089.0
Madhya Pradesh,RAJGARH,BABU SINGH,Sajag Samaj Party,-146089.0
Madhya Pradesh,RAJGARH,ANIL JAIN,Independent,-146089.0
Madhya Pradesh,RAJGARH,DINESH RAZAWAT,Aazad Samaj Party (Kanshi Ram),-146089.0
Madhya Pradesh,RAJGARH,JITENDRA SINGH,National World Leader Party,-146089.0
